Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,PM10,CO,NO,NO2,NOx,O3,RADIATIE_SOLARA,SO2,TEMPERATURA,UMIDITATE
3/24/2024,B-24,44.4071007,26.113142,22.05608696,25.74,,,,,,,,,
3/25/2024,B-24,44.4071007,26.113142,4.426521739,5.87,,,,,,,,,
3/26/2024,B-24,44.4071007,26.113142,7.639130435,9.72,,,,,,,,,
3/27/2024,B-24,44.4071007,26.113142,8.192608696,10.3,,,,,,,,,
3/28/2024,B-24,44.4071007,26.113142,8.79,13.71,,,,,,,,,
3/29/2024,B-24,44.4071007,26.113142,7.67173913,13.19,,,,,,,,,
3/30/2024,B-24,44.4071007,26.113142,18.56478261,25.37,,,,,,,,,
3/31/2024,B-24,44.4071007,26.113142,18.37409091,27.08,,,,,,,,,
4/1/2024,B-24,44.4071007,26.113142,19.79391304,41.61,,,,,,,,,
4/2/2024,B-24,44.4071007,26.113142,15.73695652,33.13,,,,,,,,,
4/3/2024,B-24,44.4071007,26.113142,6.300869565,9.6,,,,,,,,,
4/4/2024,B-24,44.4071007,26.113142,7.547826087,12.67,,,,,,,,,
4/5/2024,B-24,44.4071007,26.113142,8.632173913,12.95,,,,,,,,,
4/6/2024,B-24,44.4071007,26.113142,11.0326087,14.94,,,,,,,,,
4/7/2024,B-24,44.4071007,26.113142,7.409130435,10.02,,,,,,,,,
4/8/2024,B-24,44.4071007,26.113142,9.966521739,14.37,,,,,,,,,
4/9/2024,B-24,44.4071007,26.113142,11.23434783,16.07,,,,,,,,,
4/10/2024,B-24,44.4071007,26.113142,11.70086957,17.47,,,,,,,,,
4/11/2024,B-24,44.4071007,26.113142,12.85043478,19.14,,,,,,,,,
4/12/2024,B-24,44.4071007,26.113142,11.67826087,19.24,,,,,,,,,
4/13/2024,B-24,44.4071007,26.113142,12.56478261,18.47,,,,,,,,,
4/14/2024,B-24,44.4071007,26.113142,11.66043478,17.86,,,,,,,,,
4/15/2024,B-24,44.4071007,26.113142,10.12521739,19.89,,,,,,,,,
4/16/2024,B-24,44.4071007,26.113142,12.00913043,32.25,,,,,,,,,
4/17/2024,B-24,44.4071007,26.113142,7.732173913,14.59,,,,,,,,,
4/18/2024,B-24,44.4071007,26.113142,8.115217391,10.36,,,,,,,,,
4/19/2024,B-24,44.4071007,26.113142,8.686956522,11.85,,,,,,,,,
4/20/2024,B-24,44.4071007,26.113142,9.072173913,11.09,,,,,,,,,
4/21/2024,B-24,44.4071007,26.113142,10.31521739,13.46,,,,,,,,,
4/22/2024,B-24,44.4071007,26.113142,8.437391304,10.22,,,,,,,,,
4/23/2024,B-24,44.4071007,26.113142,8.370434783,9.77,,,,,,,,,
4/24/2024,B-24,44.4071007,26.113142,8.332173913,11.52,,,,,,,,,
4/25/2024,B-24,44.4071007,26.113142,10.40913043,13.22,,,,,,,,,
4/26/2024,B-24,44.4071007,26.113142,11.07391304,14.29,,,,,,,,,
4/27/2024,B-24,44.4071007,26.113142,9.049130435,12.08,,,,,,,,,
4/28/2024,B-24,44.4071007,26.113142,10.69434783,15.06,,,,,,,,,
4/29/2024,B-24,44.4071007,26.113142,9.059565217,12.53,,,,,,,,,
4/30/2024,B-24,44.4071007,26.113142,8.535217391,12.54,,,,,,,,,
5/1/2024,B-24,44.4071007,26.113142,4.656086957,8.2,,,,,,,,,
5/2/2024,B-24,44.4071007,26.113142,6.24,9.1,,,,,,,,,
5/3/2024,B-24,44.4071007,26.113142,8.057391304,10.51,,,,,,,,,
5/4/2024,B-24,44.4071007,26.113142,9.902608696,14.05,,,,,,,,,
5/5/2024,B-24,44.4071007,26.113142,10.5973913,14.48,,,,,,,,,
